642,25,12,40,1,1,0,0
651,36,12,27,1,1,0,1
530,64,21,42,1,2,0,1
522,76,37,32,1,10,0,0
565,77,17,43,1,1,0,0
577,92,16,27,1,1,0,1
580,112,14,43,1,1,0,0
614,73,104,64,1,4,0,0
671,166,20,50,1,1,0,1
517,263,122,74,1,4,0,0
437,380,23,54,1,1,0,1
458,370,31,48,1,1,0,1
456,401,24,53,1,1,0,0
473,400,23,54,1,1,0,1
297,517,35,58,1,1,0,0
337,521,28,67,1,1,0,1
331,562,211,105,1,4,0,0
369,667,81,51,1,10,0,1
319,725,34,40,1,1,1,0
289,736,24,29,1,1,1,0
355,735,23,30,1,1,1,0
415,695,36,70,1,1,1,0
469,690,37,75,1,1,0,0
535,713,18,44,1,1,0,0
555,683,75,47,1,10,0,1
582,699,26,40,1,2,0,1
594,718,33,47,1,1,1,0
627,525,27,60,1,1,0,0
808,119,113,60,1,4,0,0
1151,214,125,47,1,7,0,1
1306,174,29,40,1,2,0,1
1286,187,54,33,1,3,0,1
1172,205,44,43,1,2,0,1
995,17,365,126,1,6,1,1
928,730,27,35,1,1,1,0
952,665,186,100,1,8,1,1
139,3,17,32,1,2,0,1
138,13,17,34,1,10,0,1
687,0,24,50,0,0,0,0
664,16,13,36,1,1,0,0
664,1,9,26,1,1,0,2
669,0,14,32,1,1,1,1
