344,566,63,67,1,4,0,0
382,486,47,52,1,5,0,1
234,411,46,40,1,5,0,1
198,407,41,34,1,4,0,1
138,417,51,29,1,4,0,1
195,397,57,26,1,4,0,2
800,292,8,14,1,7,0,0
656,263,30,10,1,4,0,2
591,254,16,12,1,4,0,0
515,247,46,19,1,9,0,1
572,247,16,9,1,4,0,0
568,242,17,9,1,5,0,2
558,231,10,7,1,4,0,0
536,229,12,20,1,6,0,0
523,232,8,7,1,4,0,0
533,221,7,7,1,4,0,0
619,241,18,8,1,4,0,1
607,244,20,9,1,4,0,2
260,334,24,25,1,5,0,0
307,298,23,23,1,5,0,0
345,281,30,14,1,5,0,1
345,350,77,27,1,6,0,1
348,341,58,16,1,4,0,2
363,333,46,16,1,7,0,2
380,323,44,20,1,5,0,2
386,316,45,21,1,6,0,2
395,296,51,24,1,6,0,1
422,267,18,23,1,6,0,0
215,372,18,14,1,10,0,1
111,434,27,17,1,3,0,0
80,415,28,28,0,0,0,0
0,445,36,18,1,7,1,0
425,256,78,20,1,6,0,2
413,241,54,22,1,9,0,2
509,201,29,16,0,0,0,0
555,207,5,6,1,4,0,0
462,222,7,6,1,4,0,0
463,218,10,5,1,4,0,0
